RBB 6: chip_tile_x=0, chip_tile_y=0, chip_x=13, chip_y=24
RBB 107: chip_tile_x=0, chip_tile_y=0, chip_x=1, chip_y=12
RBB 110: chip_tile_x=0, chip_tile_y=0, chip_x=4, chip_y=24
RBB 111: chip_tile_x=0, chip_tile_y=0, chip_x=1, chip_y=26
RBB 112: chip_tile_x=0, chip_tile_y=0, chip_x=7, chip_y=24
RBB 113: chip_tile_x=0, chip_tile_y=0, chip_x=10, chip_y=22
RBB 114: chip_tile_x=0, chip_tile_y=0, chip_x=10, chip_y=18
RBB 116: chip_tile_x=0, chip_tile_y=0, chip_x=1, chip_y=20
RBB 106: chip_tile_x=0, chip_tile_y=0, chip_x=4, chip_y=14
RBB 105: chip_tile_x=0, chip_tile_y=0, chip_x=1, chip_y=18
RBB 98: chip_tile_x=0, chip_tile_y=0, chip_x=10, chip_y=14
RBB 97: chip_tile_x=0, chip_tile_y=0, chip_x=7, chip_y=14
RBB 96: chip_tile_x=0, chip_tile_y=0, chip_x=1, chip_y=8
RBB 95: chip_tile_x=0, chip_tile_y=0, chip_x=1, chip_y=16
RBB 99: chip_tile_x=0, chip_tile_y=0, chip_x=10, chip_y=10
RBB 100: chip_tile_x=0, chip_tile_y=0, chip_x=10, chip_y=16
RBB 104: chip_tile_x=0, chip_tile_y=0, chip_x=4, chip_y=10
RBB 103: chip_tile_x=0, chip_tile_y=0, chip_x=16, chip_y=10
RBB 102: chip_tile_x=0, chip_tile_y=0, chip_x=7, chip_y=16
RBB 101: chip_tile_x=0, chip_tile_y=0, chip_x=13, chip_y=12
RBB 117: chip_tile_x=0, chip_tile_y=0, chip_x=4, chip_y=4
RBB 118: chip_tile_x=0, chip_tile_y=0, chip_x=13, chip_y=14
RBB 134: chip_tile_x=0, chip_tile_y=0, chip_x=7, chip_y=18
RBB 133: chip_tile_x=0, chip_tile_y=0, chip_x=19, chip_y=2
RBB 132: chip_tile_x=0, chip_tile_y=0, chip_x=10, chip_y=2
RBB 131: chip_tile_x=0, chip_tile_y=0, chip_x=22, chip_y=2
RBB 135: chip_tile_x=0, chip_tile_y=0, chip_x=7, chip_y=22
RBB 136: chip_tile_x=0, chip_tile_y=0, chip_x=13, chip_y=10
RBB 140: chip_tile_x=0, chip_tile_y=0, chip_x=7, chip_y=28
RBB 139: chip_tile_x=0, chip_tile_y=0, chip_x=10, chip_y=28
RBB 138: chip_tile_x=0, chip_tile_y=0, chip_x=4, chip_y=28
RBB 137: chip_tile_x=0, chip_tile_y=0, chip_x=16, chip_y=18
RBB 130: chip_tile_x=0, chip_tile_y=0, chip_x=22, chip_y=6
RBB 129: chip_tile_x=0, chip_tile_y=0, chip_x=25, chip_y=6
RBB 122: chip_tile_x=0, chip_tile_y=0, chip_x=25, chip_y=18
RBB 121: chip_tile_x=0, chip_tile_y=0, chip_x=28, chip_y=14
RBB 120: chip_tile_x=0, chip_tile_y=0, chip_x=19, chip_y=18
RBB 119: chip_tile_x=0, chip_tile_y=0, chip_x=16, chip_y=14
RBB 123: chip_tile_x=0, chip_tile_y=0, chip_x=25, chip_y=14
RBB 124: chip_tile_x=0, chip_tile_y=0, chip_x=28, chip_y=18
RBB 128: chip_tile_x=0, chip_tile_y=0, chip_x=28, chip_y=10
RBB 127: chip_tile_x=0, chip_tile_y=0, chip_x=25, chip_y=10
RBB 126: chip_tile_x=0, chip_tile_y=0, chip_x=22, chip_y=18
RBB 125: chip_tile_x=0, chip_tile_y=0, chip_x=10, chip_y=20
RBB 94: chip_tile_x=0, chip_tile_y=0, chip_x=4, chip_y=18
RBB 93: chip_tile_x=0, chip_tile_y=0, chip_x=1, chip_y=22
RBB 62: chip_tile_x=0, chip_tile_y=0, chip_x=25, chip_y=26
RBB 61: chip_tile_x=0, chip_tile_y=0, chip_x=10, chip_y=24
RBB 60: chip_tile_x=0, chip_tile_y=0, chip_x=19, chip_y=28
RBB 59: chip_tile_x=0, chip_tile_y=0, chip_x=28, chip_y=26
RBB 63: chip_tile_x=0, chip_tile_y=0, chip_x=25, chip_y=28
RBB 64: chip_tile_x=0, chip_tile_y=0, chip_x=7, chip_y=26
RBB 68: chip_tile_x=0, chip_tile_y=0, chip_x=4, chip_y=22
RBB 67: chip_tile_x=0, chip_tile_y=0, chip_x=28, chip_y=22
RBB 66: chip_tile_x=0, chip_tile_y=0, chip_x=13, chip_y=16
RBB 65: chip_tile_x=0, chip_tile_y=0, chip_x=22, chip_y=26
RBB 58: chip_tile_x=0, chip_tile_y=0, chip_x=4, chip_y=26
RBB 57: chip_tile_x=0, chip_tile_y=0, chip_x=1, chip_y=28
RBB 50: chip_tile_x=0, chip_tile_y=0, chip_x=7, chip_y=20
RBB 49: chip_tile_x=0, chip_tile_y=0, chip_x=1, chip_y=6
RBB 27: chip_tile_x=0, chip_tile_y=0, chip_x=13, chip_y=20
RBB 26: chip_tile_x=0, chip_tile_y=0, chip_x=13, chip_y=18
RBB 51: chip_tile_x=0, chip_tile_y=0, chip_x=4, chip_y=20
RBB 52: chip_tile_x=0, chip_tile_y=0, chip_x=16, chip_y=26
RBB 56: chip_tile_x=0, chip_tile_y=0, chip_x=13, chip_y=28
RBB 55: chip_tile_x=0, chip_tile_y=0, chip_x=19, chip_y=26
RBB 54: chip_tile_x=0, chip_tile_y=0, chip_x=16, chip_y=28
RBB 53: chip_tile_x=0, chip_tile_y=0, chip_x=22, chip_y=28
RBB 69: chip_tile_x=0, chip_tile_y=0, chip_x=13, chip_y=4
RBB 70: chip_tile_x=0, chip_tile_y=0, chip_x=28, chip_y=8
RBB 86: chip_tile_x=0, chip_tile_y=0, chip_x=16, chip_y=6
RBB 85: chip_tile_x=0, chip_tile_y=0, chip_x=16, chip_y=2
RBB 84: chip_tile_x=0, chip_tile_y=0, chip_x=19, chip_y=6
RBB 83: chip_tile_x=0, chip_tile_y=0, chip_x=13, chip_y=2
RBB 87: chip_tile_x=0, chip_tile_y=0, chip_x=10, chip_y=4
RBB 88: chip_tile_x=0, chip_tile_y=0, chip_x=16, chip_y=12
RBB 92: chip_tile_x=0, chip_tile_y=0, chip_x=19, chip_y=10
RBB 91: chip_tile_x=0, chip_tile_y=0, chip_x=1, chip_y=4
RBB 90: chip_tile_x=0, chip_tile_y=0, chip_x=22, chip_y=10
RBB 89: chip_tile_x=0, chip_tile_y=0, chip_x=4, chip_y=16
RBB 82: chip_tile_x=0, chip_tile_y=0, chip_x=4, chip_y=6
RBB 81: chip_tile_x=0, chip_tile_y=0, chip_x=7, chip_y=4
RBB 74: chip_tile_x=0, chip_tile_y=0, chip_x=13, chip_y=6
RBB 73: chip_tile_x=0, chip_tile_y=0, chip_x=10, chip_y=8
RBB 72: chip_tile_x=0, chip_tile_y=0, chip_x=1, chip_y=14
RBB 71: chip_tile_x=0, chip_tile_y=0, chip_x=7, chip_y=8
RBB 75: chip_tile_x=0, chip_tile_y=0, chip_x=19, chip_y=14
RBB 76: chip_tile_x=0, chip_tile_y=0, chip_x=4, chip_y=8
RBB 80: chip_tile_x=0, chip_tile_y=0, chip_x=7, chip_y=10
RBB 79: chip_tile_x=0, chip_tile_y=0, chip_x=7, chip_y=2
RBB 78: chip_tile_x=0, chip_tile_y=0, chip_x=1, chip_y=10
RBB 77: chip_tile_x=0, chip_tile_y=0, chip_x=22, chip_y=14
RBB 141: chip_tile_x=0, chip_tile_y=0, chip_x=1, chip_y=2
RBB 0: chip_tile_x=0, chip_tile_y=0, chip_x=0, chip_y=9
RBB 1: chip_tile_x=0, chip_tile_y=0, chip_x=0, chip_y=10
RBB 2: chip_tile_x=0, chip_tile_y=0, chip_x=0, chip_y=22
RBB 3: chip_tile_x=0, chip_tile_y=0, chip_x=0, chip_y=23
RBB 4: chip_tile_x=0, chip_tile_y=0, chip_x=0, chip_y=25
RBB 5: chip_tile_x=0, chip_tile_y=0, chip_x=31, chip_y=4
